Question	Answer	Rank	Point	Judge
Q407_R3	Q388_R48_C2	5	0.6114531	True
Q407_R12	Q388_R48_C3	7	0.55759656	True
Q407_R26	Q388_R48_C4	8	0.55126846	True
Q407_R30	Q388_R48_C5	6	0.6108212	True
Q407_R36	Q388_R48_C6	10	0.43018427	False
Q407_R39	Q388_R48_C7	9	0.54657006	True
Q407_R45	Q388_R48_C8	1	0.7489054	True
Q408_R10	Q388_R48_C9	4	0.64495325	True
Q408_R33	Q388_R48_C10	3	0.66676855	True
Q409_R24	Q389_R7_C1	4	0.35478234	False
Q409_R58	Q389_R7_C2	10	0.22315991	False
Q409_R75	Q389_R7_C3	3	0.39584282	False
Q410_R28	Q389_R7_C4	9	0.32661295	False
Q410_R39	Q389_R7_C5	7	0.33640847	False
Q410_R60	Q389_R7_C6	8	0.3349128	False
Q410_R63	Q389_R7_C7	2	0.40984613	False
Q410_R76	Q389_R7_C8	5	0.35005003	False
Q410_R85	Q389_R7_C9	1	0.73412025	True
Q410_R111	Q389_R7_C10	6	0.33937138	False
Q410_R127	Q389_R25_C1	8	0.24135786	False
Q410_R139	Q389_R25_C2	7	0.27925324	False
Q412_R85	Q389_R25_C3	10	0.09699857	False
Q412_R94	Q389_R25_C4	9	0.18259948	False
Q412_R107	Q389_R25_C5	1	0.5973562	True
Q412_R124	Q389_R25_C6	5	0.3648693	False
Q412_R129	Q389_R25_C7	2	0.59276956	True
Q412_R161	Q389_R25_C8	3	0.49117592	False
Q412_R166	Q389_R25_C9	6	0.3003257	False
Q413_R2	Q389_R25_C10	4	0.38137153	False
Q413_R4	Q389_R38_C1	4	0.4811331	False
Q413_R31	Q389_R38_C2	4	0.4811331	False
Q413_R64	Q389_R38_C3	2	0.54768586	True
Q414_R3	Q389_R38_C4	6	0.4032095	False
Q414_R25	Q389_R38_C5	10	0.16222715	False
Q414_R34	Q389_R38_C6	7	0.4020004	False
Q414_R45	Q389_R38_C7	1	0.59133756	True
Q414_R49	Q389_R38_C8	9	0.3605581	False
Q414_R69	Q389_R38_C9	5	0.44229102	False
Q414_R70	Q389_R38_C10	8	0.40028113	False
Q414_R71	Q389_R39_C1	6	0.39939386	False
Q414_R87	Q389_R39_C2	6	0.39939386	False
Q415_R23	Q389_R39_C3	6	0.39939386	False
Q415_R57	Q389_R39_C4	6	0.39939386	False
Q415_R71	Q389_R39_C5	6	0.39939386	False
Q415_R110	Q389_R39_C6	6	0.39939386	False
Q416_R54	Q389_R39_C7	6	0.39939386	False
Q416_R76	Q389_R39_C8	6	0.39939386	False
Q417_R9	Q389_R39_C9	6	0.39939386	False
Q417_R64	Q389_R39_C10	6	0.39939386	False
Q417_R83	Q390_R16_C1	2	0.6711616	True
Q417_R123	Q390_R16_C2	7	0.3547048	False
Q418_R11	Q390_R16_C3	4	0.41775793	False
Q418_R41	Q390_R16_C4	6	0.37592578	False
Q418_R48	Q390_R16_C5	3	0.59310365	True
Q418_R65	Q390_R16_C6	8	0.31042564	False
Q419_R7	Q390_R16_C7	1	0.7369609	True
Q419_R28	Q390_R16_C8	10	0.14996555	False
Q419_R49	Q390_R16_C9	9	0.30833754	False
Q421_R56	Q390_R16_C10	5	0.3882176	False
Q422_R72	Q390_R33_C1	4	0.25216126	False
Q423_R38	Q390_R33_C2	1	0.3482901	False
Q423_R57	Q390_R33_C3	2	0.26130047	False
Q423_R68	Q390_R33_C4	3	0.26087707	False
Q425_R32	Q390_R33_C5	6	0.19675499	False
Q426_R64	Q390_R33_C6	7	0.19432819	False
Q427_R28	Q390_R33_C7	9	0.1570335	False
Q427_R43	Q390_R33_C8	5	0.2069467	False
Q427_R48	Q390_R33_C9	10	0.11120239	False
Q427_R50	Q390_R33_C10	8	0.19013539	False
Q427_R51	Q390_R39_C1	5	0.254969	False
Q429_R32	Q390_R39_C2	1	0.6561569	True
Q430_R8	Q390_R39_C3	9	0.19223541	False
Q431_R5	Q390_R39_C4	10	0.14639619	False
Q431_R16	Q390_R39_C5	3	0.30418316	False
Q431_R29	Q390_R39_C6	8	0.19833905	False
Q431_R35	Q390_R39_C7	6	0.23026413	False
Q432_R93	Q390_R39_C8	4	0.27060217	False
Q432_R96	Q390_R39_C9	7	0.21710837	False
Q432_R101	Q390_R39_C10	2	0.49584138	False
Q432_R111	Q390_R69_C1	7	0.37763909	False
Q432_R127	Q390_R69_C2	3	0.5696597	True
Q433_R11	Q390_R69_C3	9	0.33488324	False
Q433_R28	Q390_R69_C4	6	0.43741876	False
Q433_R30	Q390_R69_C5	5	0.5372505	True
Q433_R38	Q390_R69_C6	4	0.5510013	True
Q433_R115	Q390_R69_C7	2	0.7864977	True
Q433_R128	Q390_R69_C8	1	0.79789895	True
Q434_R6	Q390_R69_C9	10	0.31815717	False
Q434_R12	Q390_R69_C10	8	0.33528805	False
Q434_R15	Q391_R23_C1	6	0.4462092	False
Q434_R22	Q391_R23_C2	5	0.5847837	True
Q434_R28	Q391_R23_C3	9	0.34896705	False
Q434_R31	Q391_R23_C4	4	0.5852668	True
Q434_R36	Q391_R23_C5	7	0.43890533	False
Q434_R37	Q391_R23_C6	8	0.39444056	False
Q435_R6	Q391_R23_C7	10	0.2741447	False
Q435_R28	Q391_R23_C8	2	0.68516296	True
Q435_R40	Q391_R23_C9	2	0.68516296	True
Q435_R46	Q391_R23_C10	2	0.68516296	True
Q436_R14	Q391_R31_C1	4	0.58539695	True
Q436_R19	Q391_R31_C2	3	0.6057033	True
Q436_R25	Q391_R31_C3	6	0.3892037	False
Q436_R32	Q391_R31_C4	5	0.4434135	False
Q436_R34	Q391_R31_C5	8	0.296236	False
Q437_R24	Q391_R31_C6	9	0.18102369	False
Q437_R32	Q391_R31_C7	7	0.3850615	False
Q437_R55	Q391_R31_C8	1	0.7958119	True
Q437_R60	Q391_R31_C9	2	0.62969846	True
Q437_R63	Q391_R31_C10	10	0.13860643	False
Q437_R65	Q392_R3_C1	10	0.09551644	False
Q438_R2	Q392_R3_C2	3	0.38662714	False
Q438_R14	Q392_R3_C3	7	0.19478634	False
Q438_R30	Q392_R3_C4	9	0.18904555	False
Q438_R32	Q392_R3_C5	4	0.24657384	False
Q439_R18	Q392_R3_C6	2	0.7095951	True
Q439_R51	Q392_R3_C7	8	0.19259241	False
Q439_R76	Q392_R3_C8	1	0.86486244	True
Q441_R15	Q392_R3_C9	5	0.23908967	False
Q441_R39	Q392_R3_C10	6	0.2366668	False
Q441_R64	Q392_R18_C1	2	0.8654237	True
Q442_R12	Q392_R18_C2	3	0.7884538	True
Q443_R8	Q392_R18_C3	1	0.8797525	True
Q443_R50	Q392_R18_C4	9	0.10622215	False
Q445_R32	Q392_R18_C5	7	0.12860727	False
Q445_R34	Q392_R18_C6	10	0.07736355	False
Q445_R37	Q392_R18_C7	5	0.15501663	False
Q445_R74	Q392_R18_C8	8	0.12014356	False
Q445_R84	Q392_R18_C9	6	0.14935723	False
Q445_R88	Q392_R18_C10	4	0.77007383	True
Q446_R2	Q392_R20_C1	3	0.9050669	True
Q446_R4	Q392_R20_C2	9	0.4734767	False
Q446_R17	Q392_R20_C3	2	0.9074029	True
Q446_R33	Q392_R20_C4	1	0.911822	True
Q446_R68	Q392_R20_C5	4	0.90347385	True
Q446_R91	Q392_R20_C6	8	0.5627972	True
Q447_R92	Q392_R20_C7	5	0.89207757	True
Q447_R103	Q392_R20_C8	7	0.6036826	True
Q447_R106	Q392_R20_C9	10	0.14764044	False
Q447_R109	Q392_R20_C10	6	0.6698846	True
Q447_R110	Q392_R33_C1	7	0.24041665	False
Q448_R68	Q392_R33_C2	10	0.116583794	False
Q450_R36	Q392_R33_C3	1	0.8919219	True
Q450_R38	Q392_R33_C4	5	0.32635337	False
Q450_R53	Q392_R33_C5	2	0.7916559	True
Q451_R5	Q392_R33_C6	3	0.4349267	False
Q451_R28	Q392_R33_C7	4	0.3608612	False
Q451_R40	Q392_R33_C8	8	0.20930937	False
Q451_R48	Q392_R33_C9	6	0.2779633	False
Q451_R73	Q392_R33_C10	9	0.11987448	False
Q451_R95	Q392_R40_C1	3	0.30207598	False
Q451_R98	Q392_R40_C2	7	0.21173179	False
Q451_R107	Q392_R40_C3	2	0.31261787	False
Q452_R57	Q392_R40_C4	5	0.22050694	False
Q452_R64	Q392_R40_C5	1	0.41313952	False
Q452_R72	Q392_R40_C6	6	0.2135984	False
Q454_R31	Q392_R40_C7	4	0.22523955	False
Q454_R50	Q392_R40_C8	8	0.20882112	False
Q455_R1	Q392_R40_C9	10	0.1274682	False
Q455_R8	Q392_R40_C10	9	0.16411704	False
Q455_R62	Q393_R16_C1	4	0.5131078	True
Q455_R67	Q393_R16_C2	5	0.5106006	True
Q455_R84	Q393_R16_C3	10	0.15303183	False
Q456_R75	Q393_R16_C4	1	0.88780165	True
Q457_R1	Q393_R16_C5	8	0.24744749	False
Q457_R4	Q393_R16_C6	2	0.66024274	True
Q457_R17	Q393_R16_C7	3	0.557282	True
Q457_R29	Q393_R16_C8	6	0.47419146	False
Q457_R37	Q393_R16_C9	9	0.22115397	False
Q457_R38	Q393_R16_C10	7	0.46790454	False
Q457_R41	Q393_R22_C1	5	0.085267514	False
Q457_R48	Q393_R22_C2	9	0.07972014	False
Q458_R10	Q393_R22_C3	1	0.12244198	False
Q458_R11	Q393_R22_C4	10	0.07789832	False
Q458_R33	Q393_R22_C5	7	0.08179349	False
Q458_R34	Q393_R22_C6	6	0.083363056	False
Q458_R37	Q393_R22_C7	3	0.09140465	False
Q458_R39	Q393_R22_C8	2	0.09624064	False
Q459_R40	Q393_R22_C9	4	0.088629454	False
Q459_R125	Q393_R22_C10	8	0.08114594	False
Q459_R126	Q393_R31_C1	4	0.56438047	True
Q460_R16	Q393_R31_C2	3	0.6088387	True
Q460_R30	Q393_R31_C3	6	0.53582525	True
Q461_R11	Q393_R31_C4	9	0.42512584	False
Q461_R27	Q393_R31_C5	2	0.6853726	True
Q461_R80	Q393_R31_C6	5	0.5552518	True
Q461_R82	Q393_R31_C7	7	0.46411824	False
Q461_R95	Q393_R31_C8	1	0.68702835	True
Q461_R109	Q393_R31_C9	8	0.4550715	False
Q461_R140	Q393_R31_C10	10	0.41048145	False
Q461_R149	Q394_R2_C1	9	0.6217537	True
Q463_R25	Q394_R2_C2	5	0.7820296	True
Q463_R101	Q394_R2_C3	10	0.5770455	True
Q464_R13	Q394_R2_C4	8	0.6377977	True
Q464_R41	Q394_R2_C5	1	0.8750644	True
Q465_R43	Q394_R2_C6	2	0.8713304	True
Q465_R83	Q394_R2_C7	7	0.70157844	True
Q465_R132	Q394_R2_C8	6	0.7558254	True
Q465_R138	Q394_R2_C9	4	0.8008741	True
Q466_R11	Q394_R2_C10	3	0.86894417	True
Q469_R14	Q394_R22_C1	4	0.56360877	True
Q471_R16	Q394_R22_C2	2	0.72061354	True
Q471_R22	Q394_R22_C3	7	0.51236254	True
Q471_R37	Q394_R22_C4	9	0.38701952	False
Q471_R53	Q394_R22_C5	1	0.8040844	True
Q472_R30	Q394_R22_C6	6	0.52069354	True
Q473_R10	Q394_R22_C7	5	0.5482352	True
Q473_R12	Q394_R22_C8	10	0.23247245	False
Q473_R19	Q394_R22_C9	8	0.49070904	False
Q474_R21	Q394_R22_C10	3	0.6450581	True
Q474_R57	Q395_R24_C1	3	0.14880958	False
Q474_R69	Q395_R24_C2	1	0.16503811	False
Q474_R101	Q395_R24_C3	6	0.13760853	False
Q475_R9	Q395_R24_C4	9	0.12540817	False
Q475_R15	Q395_R24_C5	2	0.16261613	False
Q475_R17	Q395_R24_C6	8	0.13325387	False
Q475_R27	Q395_R24_C7	10	0.12110105	False
Q475_R31	Q395_R24_C8	7	0.13702422	False
Q475_R44	Q395_R24_C9	4	0.14667946	False
Q475_R45	Q395_R24_C10	5	0.1377292	False
Q475_R54	Q395_R43_C1	2	0.20020962	False
Q475_R56	Q395_R43_C2	2	0.20020962	False
Q475_R72	Q395_R43_C3	3	0.19356704	False
